id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score
507,0,child,father,,,Myanmar,nationality,292,24,3.61,12.17,0.545,11.49
507,1,child,father,,,Myanmar,nationality,293,24,3.43,12.21,0.488,11.25
507,2,child,father,,,Myanmar,nationality,301,24,3.42,12.54,0.545,11.39
508,0,daughter,mother,,,Myanmar,nationality,289,26,3.61,11.12,0.495,10.97
508,1,daughter,mother,,,Myanmar,nationality,317,26,3.65,12.19,0.53,11.57
508,2,daughter,mother,,,Myanmar,nationality,282,24,3.45,11.75,0.479,11.05
509,0,son,mother,,,Myanmar,nationality,291,27,3.49,10.78,0.502,10.63
509,1,son,mother,,,Myanmar,nationality,269,22,3.44,12.23,0.506,11.27
509,2,son,mother,,,Myanmar,nationality,287,22,3.59,13.05,0.557,11.9
510,0,child,mother,,,Myanmar,nationality,329,26,3.6,12.65,0.495,11.73
510,1,child,mother,,,Myanmar,nationality,287,25,3.61,11.48,0.488,11.16
510,2,child,mother,,,Myanmar,nationality,287,23,3.45,12.48,0.505,11.41
511,0,daughter,father,,,Tibet,nationality,285,23,3.49,12.39,0.519,11.44
511,1,daughter,father,,,Tibet,nationality,275,25,3.54,11.0,0.535,10.81
511,2,daughter,father,,,Tibet,nationality,307,25,3.36,12.28,0.482,11.18
512,0,son,father,,,Tibet,nationality,276,24,3.39,11.5,0.5,10.83
512,1,son,father,,,Tibet,nationality,291,26,3.59,11.19,0.481,10.99
512,2,son,father,,,Tibet,nationality,282,23,3.68,12.26,0.528,11.66
513,0,child,father,,,Tibet,nationality,293,22,3.56,13.32,0.485,12.0
513,1,child,father,,,Tibet,nationality,272,27,3.68,10.07,0.522,10.56
513,2,child,father,,,Tibet,nationality,287,22,3.47,13.05,0.516,11.73
514,0,daughter,mother,,,Tibet,nationality,318,26,3.47,12.23,0.475,11.32
514,1,daughter,mother,,,Tibet,nationality,297,23,3.36,12.91,0.488,11.49
514,2,daughter,mother,,,Tibet,nationality,288,23,3.45,12.52,0.531,11.44
515,0,son,mother,,,Tibet,nationality,267,21,3.5,12.71,0.506,11.61
515,1,son,mother,,,Tibet,nationality,257,22,3.73,11.68,0.572,11.44
515,2,son,mother,,,Tibet,nationality,331,26,3.48,12.73,0.489,11.59
516,0,child,mother,,,Tibet,nationality,312,24,3.58,13.0,0.503,11.88
516,1,child,mother,,,Tibet,nationality,298,23,3.59,12.96,0.48,11.87
516,2,child,mother,,,Tibet,nationality,309,24,3.44,12.88,0.502,11.59
517,0,daughter,father,,,Bhutan,nationality,258,22,3.48,11.73,0.543,11.08
517,1,daughter,father,,,Bhutan,nationality,282,24,3.47,11.75,0.546,11.08
517,2,daughter,father,,,Bhutan,nationality,318,23,3.35,13.83,0.494,11.94
518,0,son,father,,,Bhutan,nationality,287,22,3.4,13.05,0.523,11.63
518,1,son,father,,,Bhutan,nationality,291,25,3.48,11.64,0.533,11.04
