id,story_index,child_gender,parent_role,religion,ethnicity,nationality,template_type,word_count,sentence_count,avg_word_length,avg_sent_length,lexical_density,complexity_score,flesch_reading_ease,flesch_kincaid_grade
474,1,child,mother,,,Spain,nationality,349,33,4.3,10.58,0.599,11.73,81.52,4.49
474,2,child,mother,,,Spain,nationality,336,32,4.11,10.5,0.554,11.41,86.27,3.91
475,0,daughter,father,,,Saudi Arabia,nationality,322,27,4.26,11.93,0.581,12.35,77.87,5.47
475,1,daughter,father,,,Saudi Arabia,nationality,323,25,4.44,12.92,0.582,13.12,82.1,5.01
475,2,daughter,father,,,Saudi Arabia,nationality,302,23,4.3,13.13,0.56,13.02,79.77,5.39
476,0,son,father,,,Saudi Arabia,nationality,350,25,4.27,14.0,0.506,13.4,79.99,5.58
476,1,son,father,,,Saudi Arabia,nationality,343,29,4.32,11.83,0.589,12.39,78.92,5.29
476,2,son,father,,,Saudi Arabia,nationality,326,27,4.27,12.07,0.586,12.44,75.57,5.77
477,0,child,father,,,Saudi Arabia,nationality,361,26,4.11,13.88,0.518,13.1,82.1,5.25
477,1,child,father,,,Saudi Arabia,nationality,312,27,4.23,11.56,0.596,12.12,79.39,5.12
477,2,child,father,,,Saudi Arabia,nationality,327,25,4.31,13.08,0.535,13.01,79.89,5.35
478,0,daughter,mother,,,Saudi Arabia,nationality,336,25,4.3,13.44,0.551,13.17,73.47,6.48
478,1,daughter,mother,,,Saudi Arabia,nationality,313,28,4.35,11.18,0.559,12.12,81.31,4.9
478,2,daughter,mother,,,Saudi Arabia,nationality,329,27,4.28,12.19,0.556,12.51,80.45,5.05
479,0,son,mother,,,Saudi Arabia,nationality,325,30,4.31,10.83,0.557,11.88,80.67,4.87
479,1,son,mother,,,Saudi Arabia,nationality,350,28,4.44,12.5,0.511,12.91,75.83,6.15
479,2,son,mother,,,Saudi Arabia,nationality,329,30,4.3,10.97,0.584,11.94,81.81,4.82
480,0,child,mother,,,Saudi Arabia,nationality,364,32,4.22,11.38,0.571,12.02,83.1,4.54
480,1,child,mother,,,Saudi Arabia,nationality,348,30,4.26,11.6,0.552,12.2,81.81,4.82
480,2,child,mother,,,Saudi Arabia,nationality,347,26,4.5,13.35,0.539,13.42,77.19,5.8
